objectid,filename,title,format,youtubeid,vimeoid,latitude,longitude,location,isbn10,isbn13,subject,language,page_count,creator
coll001,anatomy.jpg,The Anatomy Coloring Book ,image/jpeg,,,,,,321832019,9780321832016,Anatomy,eng,384,Pearson
coll002,biology.jpg,"Biology Coloring Workbook, 2nd Edition",image/jpeg,,,,,,451487788,9780451487780,Biology,eng,384,Princeton Review
coll003,zen.jpg,"Zensational Adult Coloring Book Zen inspired philosophical and motivational, images and designs that help relieve stress and anxiety",image/jpeg,,,,,,,9798398467062,Meditation ,eng,100,Ted E Care Publishing
coll004,plant.jpg,The Plant Parent Coloring Book,image/jpeg,,,,,,1951728181,9781951728182,Horticulture ,eng,65,Eclectic Esquire Media
coll005,stress.jpg,Stress Relief Coloring Book for Adults,image/jpeg,,,,,,1648766099,â€Ž9781648766091,Meditation ,eng,72,Rockridge Press
coll006,tagalong.jpg,Tagalog Picture Dictionary Coloring Book,image/jpeg,,,,,,1951949676,9781951949679,Language,eng,190,Lingo Mastery
coll007,multiplication.jpg,"Color by math, multiplication and division for kids",image/jpeg,,,,,,,9798843969578,Math ,eng,72,Three Sparrows
coll008,life.jpg,Life under the lens A Scientific Colouring Book,image/jpeg,,,,,,1999742206,9781999742201,Biology ,eng,106,Jenifer Delany
coll009,math.jpg,Color By Math Activity Coloring Book for Kids,image/jpeg,,,,,,1541909607,9781541909601,Math ,eng,106,Speedy Kids
coll010,icandothis.jpg,I Can Do This Coloring Book ,image/jpeg,,,,,,,9798988493167,Meditation ,eng,102,Happy Hobble Books